line,order,stationName,lat,lng,hasElevatorInstalled,hasLiftInstalled
I1103,7,무악재,37.582658,126.950131,true,false
I1103,8,독립문,37.574534,126.957902,true,false
I1103,9,경복궁(정부서울청사),37.575844,126.973576,true,false
I1103,10,안국,37.576562,126.98547,true,false
I1103,11,종로3가,37.571537,126.991837,true,false
I1103,12,을지로3가,37.566299,126.992616,true,false
I1103,13,충무로,37.561382,126.994173,true,false
I1103,14,동대입구,37.55906,127.005273,true,false
I1103,15,약수,37.554554,127.010858,true,false
I1103,16,금호,37.548269,127.015785,true,false
I1103,17,옥수,37.541653,127.017303,true,false
I1103,18,압구정,37.526169,127.028502,true,false
I1103,19,신사,37.516438,127.020247,true,false
I1103,20,잠원,37.512989,127.011613,true,false
I1103,21,고속터미널,37.504953,127.004916,true,false
I1103,22,교대(법원·검찰청),37.49306,127.013796,true,false
I1103,23,남부터미널(예술의전당),37.48494,127.016289,true,false
I1103,24,양재(서초구청),37.48458,127.03423,true,false
I1103,25,매봉,37.487114,127.046907,true,false
I1103,26,도곡,37.491129,127.055694,true,false
I1103,27,대치,37.494601,127.063449,true,false
I1103,28,학여울,37.496787,127.0708601,true,false
I1103,29,대청,37.493607,127.079526,true,false
I1103,30,일원,37.48389,127.08416,true,false
I1103,31,수서,37.4875,127.101924,true,false
I1103,32,가락시장,37.492318,127.1177,true,false
I1103,33,경찰병원,37.495754,127.124198,true,false
I1103,34,오금,37.502288,127.128344,true,false
I1104,1,불암산,37.67009,127.079004,true,false
I1104,2,상계,37.660576,127.073199,true,false
I1104,3,노원,37.656274,127.063183,true,false
I1104,4,창동,37.653315,127.048304,true,false
I1104,5,쌍문,37.648274,127.034381,true,false
I1104,6,수유(강북구청),37.637727,127.025371,true,false
I1104,7,미아(서울사이버대학),37.626435,127.026151,true,false
I1104,8,미아사거리,37.613276,127.030083,true,false
I1104,9,길음,37.603387,127.025053,true,false
I1104,10,성신여대입구(돈암),37.592882,127.016908,true,false
I1104,11,한성대입구(삼선교),37.58838,127.005951,true,false
I1104,12,혜화,37.582116,127.001929,true,false
I1104,13,동대문,37.57099,127.00925,true,false
I1104,14,동대문역사문화공원(DDP),37.565141,127.007808,true,false
I1104,15,충무로,37.561352,126.994573,true,false
I1104,16,명동,37.560955,126.986271,true,false
I1104,17,회현(남대문시장),37.558698,126.978346,true,false
I1104,18,서울역,37.553172,126.972706,true,false
I1104,19,숙대입구(갈월),37.5447834,126.9721,true,false
I1104,20,삼각지(전쟁기념관),37.534457,126.972992,true,false
I1104,21,이촌(국립중앙박물관),37.52919,126.9679818,true,false
I1104,22,신용산,37.52909,126.96788,true,false
I1104,23,동작(현충원),37.503567,126.980171,true,false
I1104,24,총신대입구(이수),37.487521,126.982309,true,false
I1104,25,사당,37.476263,126.981636,true,false
I1104,26,남태령,37.464339,126.989081,true,false
S1105,1,김포공항,37.56217,126.801273,true,false
S1105,2,송정,37.561201,126.812052,true,false
S1105,3,개화산,37.572458,126.806838,true,false
S1105,4,방화,37.577669,126.812822,true,false
S1105,5,발산,37.558692,126.837633,true,false
S1105,6,마곡,37.55865,126.837693,true,false
S1105,7,우장산,37.548864,126.83633,true,false
S1105,8,화곡,37.541585,126.840436,true,false
S1105,9,까치산,37.5322,126.84645,true,false
S1105,10,신정(은행정),37.525001,126.856176,true,false
S1105,11,목동,37.526088,126.864296,true,false
S1105,12,오목교(목동운동장앞),37.524557,126.875049,true,false
S1105,13,양평,37.525614,126.886177,true,false
S1105,14,영등포구청,37.524209,126.895022,true,false
S1105,15,영등포시장,37.52276,126.905143,true,false
S1105,16,신길,37.51763,126.914886,true,false
S1105,17,여의도,37.521678,126.924318,true,false
S1105,18,여의나루,37.527045,126.932807,true,false
S1105,19,마포,37.539718,126.946043,true,false
S1105,20,공덕,37.544005,126.951058,true,false
S1105,21,애오개,37.553592,126.956733,true,false
S1105,22,충정로(경기대입구),37.560061,126.962783,true,false
S1105,23,서대문,37.565812,126.966639,true,false
S1105,24,광화문(세종문화회관),37.571645,126.976568,true,false
S1105,25,종로3가(탑골공원),37.572546,126.990447,true,false
S1105,26,을지로4가,37.56728,126.998127,true,false
S1105,27,동대문역사문화공원(DDP),37.564682,127.00533,true,false
S1105,28,청구,37.560237,127.01379,true,false
S1105,29,신금호,37.554504,127.020403,true,false
S1105,30,행당,37.557297,127.029482,true,false
S1105,31,왕십리(성동구청),37.56197,127.037264,true,false
S1105,32,마장,37.566066,127.042921,true,false
S1105,33,답십리,37.566833,127.05266,true,false
S1105,34,장한평,37.561438,127.064601,true,false
S1105,35,군자(능동),37.557102,127.079559,true,false
S1105,36,아차산(어린이대공원후문),37.552005,127.089609,true,false
S1105,37,광나루(장신대),37.545301,127.103478,true,false
S1105,38,천호(풍납토성),37.538566,127.123539,true,false
S1105,39,강동,37.53581,127.13249,true,false
S1105,40,길동,37.538022,127.140085,true,false
S1105,41,굽은다리(강동구민회관앞),37.545442,127.142844,true,false
S1105,42,명일,37.551317,127.144002,true,false
